Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,"4,3368E-18","0,02641",0,0,0,"0,018197","1,7645E-05","-2,3082E-21","-8,1521E-22","1,2785E-05","-1,2074E-21","1,0873E-05",0,0,0,0,0,0,package://arm_v1/meshes/base_link.STL,"0,41176",1,"0,34118",1,0,0,0,0,0,0,package://arm_v1/meshes/base_link.STL,,base-1,base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
long1_link,"0,18502","0,048","-0,00093286",0,0,0,"0,20903","0,00038821","8,2426E-20","2,473E-05","0,0023863","-5,6847E-20","0,0027026",0,0,0,0,0,0,package://arm_v1/meshes/long1_link.STL,"0,57647","0,91373",1,1,0,0,0,0,0,0,package://arm_v1/meshes/long1_link.STL,,long-1,long1_CS,long1_axis,long1_joint,revolute,0,"-0,048","0,052",0,0,0,base_link,0,1,0,0,0,"-1,5",0,,,"0,1","0,25",,,,
long2_link,"0,18502","0,048","-0,00093286",0,0,0,"0,20903","0,00038821","-3,5742E-20","2,473E-05","0,0023863","4,0215E-20","0,0027026",0,0,0,0,0,0,package://arm_v1/meshes/long2_link.STL,"0,57647","0,91373",1,1,0,0,0,0,0,0,package://arm_v1/meshes/long2_link.STL,,long-2,long2_CS,long2_axis,long2_joint,revolute,"0,312",0,"-0,024",0,0,0,long1_link,0,1,0,0,0,0,"2,6",,,"0,1","0,25",,,,
short_link,"0,094366","0,048",0,0,0,0,"0,16805","0,00019557","-5,5658E-20","-3,9919E-21","0,00030008","-2,8951E-21","0,00045986",0,0,0,0,0,0,package://arm_v1/meshes/short_link.STL,1,"0,38431","0,38431",1,0,0,0,0,0,0,package://arm_v1/meshes/short_link.STL,,short-1,short_CS,short_axis,short_joint,revolute,"0,312",0,"-0,024",0,0,0,long2_link,0,1,0,0,0,0,"2,6",,,"0,1","0,25",,,,
