Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,"4,8619E-18","0,0325",0,0,0,"1,2622","0,0027894","3,0464E-37","-7,8628E-36","0,0027894","-5,0096E-36","0,00469",0,0,0,0,0,0,package://arm_v2/meshes/base_link.STL,"0,34118","0,66667",1,1,0,0,0,0,0,0,package://arm_v2/meshes/base_link.STL,,base-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bracket_link,"3,1709E-05","-1,0994E-17","0,021174",0,0,0,"0,1844","0,00016429","-5,5944E-20","-1,128E-06","0,00012823","-3,7411E-20","0,00017784",0,0,0,0,0,0,package://arm_v2/meshes/bracket_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://arm_v2/meshes/bracket_link.STL,,bracket-1,bracket_cs,bracket_axis,bracket_joint,revolute,0,0,"0,056",0,0,0,base_link,0,0,1,0,0,"-1,5","1,5",,,"0,05","0,1",,,,
actuator_humerus_link,"0,0091905","-1,6846E-16","0,085885",0,0,0,"0,39053","0,0011334","1,5572E-19","-0,00034359","0,0014183","4,2582E-19","0,0003715",0,0,0,0,0,0,package://arm_v2/meshes/actuator_humerus_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v2/meshes/actuator_humerus_link.STL,,actuator-1,actuator_humerus_cs,actuator_humerus_axis,actuator_humerus_joint,revolute,"-0,0318",0,"0,056875",0,0,0,bracket_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,25",,,,
shaft_humerus_link,"0,025159","-4,8418E-07","0,087064",0,0,0,"0,056658","0,00014546","6,4301E-10","-4,1215E-05","0,0001574","2,2272E-09","1,4743E-05",0,0,0,0,0,0,package://arm_v2/meshes/shaft_humerus_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v2/meshes/shaft_humerus_link.STL,,shaft-1,shaft_humerus_cs,shaft_humerus_axis,shaft_humerus_joint,prismatic,"0,019073",0,"0,066004",0,0,0,actuator_humerus_link,"0,27761",0,"0,96069",0,0,0,"0,3",,,"0,1","0,25",,,,
humerus_link,"0,037068","-0,027","0,21239",0,0,0,"0,23656","0,0024439","6,3046E-18","-0,00033966","0,0023823","-1,3656E-19","0,00028041",0,0,0,0,0,0,package://arm_v2/meshes/humerus_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://arm_v2/meshes/humerus_link.STL,,humerus-1,humerus_low_cs,humerus_low_axis,humerus_low_joint,revolute,"0,02545","0,027","0,0267",0,0,0,bracket_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,25",,,,
forearm_link,"0,12305","-0,024","-0,010891",0,0,0,"0,18818","0,00014001","3,5309E-20","6,5137E-05","0,00081388","4,9832E-21","0,00087088",0,0,0,0,0,0,package://arm_v2/meshes/forearm_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://arm_v2/meshes/forearm_link.STL,,forearm-1,forearm_low_cs,forearm_low_axis,forearm_low_joint,revolute,"0,070135","-0,003","0,3874",0,0,0,humerus_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,25",,,,
actuator_forearm_link,"0,075992","-0,00889","0,04106",0,0,0,"0,39053","0,00072202","-1,5775E-19","-0,00051211","0,0014183","-1,2292E-19","0,00078291",0,0,0,0,0,0,package://arm_v2/meshes/actuator_forearm_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v2/meshes/actuator_forearm_link.STL,,actuator-2,actuator_forearm_cs,actuator_forearm_axis,actuator_forearm_joint,revolute,"0,051816","-0,01811","0,18991",0,0,0,humerus_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,25",,,,
shaft_forearm_link,"0,07103","-4,8425E-07","0,056284",0,0,0,"0,056658","6,2439E-05","1,8168E-09","-7,5222E-05","0,0001574","1,4403E-09","9,7763E-05",0,0,0,0,0,0,package://arm_v2/meshes/shaft_forearm_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v2/meshes/shaft_forearm_link.STL,,shaft-2,shaft_forearm_cs,shaft_forearm_axis,shaft_forearm_joint,prismatic,"0,063117","-0,00889","0,050013",0,0,0,actuator_forearm_link,"0,78377",0,"0,62105",0,0,0,"0,3",,,"0,1","0,25",,,,
